,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
688,frozenset({'product data management system'}),frozenset({'product data management'}),0.4878048780487805,0.5426829268292683,0.4878048780487805,1.0,1.842696629213483,0.223081499107674,inf,0.8928571428571428
687,frozenset({'product data management'}),frozenset({'product data management system'}),0.5426829268292683,0.4878048780487805,0.4878048780487805,0.8988764044943819,1.842696629213483,0.223081499107674,5.065040650406497,1.0000000000000002
721,frozenset({'manufacturing method'}),frozenset({'manufacturing'}),0.4817073170731707,0.6463414634146342,0.4817073170731707,1.0,1.5471698113207546,0.1703599048185604,inf,0.6823529411764706
873,frozenset({'semantic representation'}),frozenset({'ontology'}),0.5060975609756098,0.5914634146341463,0.43902439024390244,0.8674698795180723,1.466650105576947,0.1396861986912552,3.0825942350332602,0.6442043895747599
1049,frozenset({'manufacture'}),frozenset({'manufacturing'}),0.4268292682926829,0.6463414634146342,0.4024390243902439,0.942857142857143,1.4587601078167116,0.12656157049375372,6.189024390243912,0.5486782720825273
800,frozenset({'express application'}),frozenset({'express'}),0.4634146341463415,0.7134146341463414,0.4634146341463415,1.0,1.4017094017094018,0.13280785246876864,inf,0.5340909090909092
369,frozenset({'detailed design'}),frozenset({'detailed'}),0.6097560975609756,0.725609756097561,0.6097560975609756,1.0,1.3781512605042017,0.1673111243307555,inf,0.703125
370,frozenset({'detailed'}),frozenset({'detailed design'}),0.725609756097561,0.6097560975609756,0.6097560975609756,0.8403361344537815,1.3781512605042017,0.1673111243307555,2.44415917843389,1.0
1050,frozenset({'cad'}),frozenset({'manufacturing'}),0.4573170731707317,0.6463414634146342,0.4024390243902439,0.88,1.3615094339622642,0.10685603807257588,2.9471544715447155,0.4892747701736467
826,frozenset({'reasoning'}),frozenset({'ontology'}),0.5609756097560976,0.5914634146341463,0.45121951219512196,0.8043478260869564,1.3599282832810398,0.11942296252230816,2.0880758807588067,0.602852852852853
1010,frozenset({'manufacture'}),frozenset({'product support'}),0.4268292682926829,0.7195121951219512,0.40853658536585363,0.9571428571428571,1.3302663438256659,0.10142772159428909,6.544715447154462,0.4331533820260399
1024,frozenset({'product data management system'}),frozenset({'manufacturing'}),0.4878048780487805,0.6463414634146342,0.40853658536585363,0.8374999999999999,1.2957547169811319,0.09324806662700769,2.1763602251407117,0.44562899786780363
827,frozenset({'product data management'}),frozenset({'manufacturing'}),0.5426829268292683,0.6463414634146342,0.45121951219512196,0.8314606741573033,1.2864108543565824,0.10046103509815585,2.0983739837398363,0.48684684684684687
843,frozenset({'product data management system'}),frozenset({'product support'}),0.4878048780487805,0.7195121951219512,0.45121951219512196,0.925,1.2855932203389833,0.10023795359904825,3.7398373983739863,0.433719433719434
856,frozenset({'manufacturing method'}),frozenset({'product support'}),0.4817073170731707,0.7195121951219512,0.4451219512195122,0.9240506329113924,1.2842737609954946,0.09852766210588937,3.6930894308943114,0.42707493956486714
649,frozenset({'product data management'}),frozenset({'product support'}),0.5426829268292683,0.7195121951219512,0.5,0.9213483146067415,1.2805179965720814,0.10953301606186794,3.566202090592331,0.4790243902439025
1052,frozenset({'manufacturing method'}),frozenset({'material'}),0.4817073170731707,0.6585365853658537,0.4024390243902439,0.8354430379746837,1.268635724331927,0.0852171326591315,2.0750469043151982,0.40855614973262044
