Instance,Min,Max,Mean,Median,Std
cad representation,0,82062,2599.2,290.5,10046.232922415673
external web page,4,270953,24129.203703703704,6903.5,41682.52419552296
design parts,0,61626,1879.9444444444443,20.0,10108.926594144526
tooling parts,0,25240,6828.076923076923,5623.0,7876.835272948125
point clouds,0,3821,2558.4,2747.0,1361.4907417973875
knowledge based engineering,6,13841,625.1384615384616,74.0,2101.6844297769503
automated reasoning,0,90295,6341.926829268293,767.0,15262.553782714602
multimedia document processing,9,250046,19323.870967741936,5624.0,44811.87791469372
share documents,1,52119,4783.875,177.0,12151.906326143853
physical sensing,0,86133,8358.1,1302.5,19401.337579919586
convert file formats,316,90431,22232.875,947.0,35087.45033640055
web-based decision tool,103,72473,6044.108695652174,2139.5,12193.250390969624
mind map,0,25798,4703.2307692307695,1728.0,6371.99775343828
topic maps,0,62155,13706.076923076924,496.0,20209.555331238502
oracle server,0,45535,14244.923076923076,3197.0,18051.851639360084
pdf files,0,7569,1650.8,2.0,2970.877001829594
descriptive information generation,12,97494,18450.342857142856,11118.0,19989.149179267744
triple store,0,32312,5497.53125,1778.5,7866.923950091512
word processor documents,145,100072,28271.285714285714,16668.0,31383.0176310796
word doc,0,20365,2429.133333333333,308.0,5337.163539642465
bond graphs,0,6044,1431.6,0.0,2346.2113800763987
hyper-pareto frontier visualization,18,971,494.5,494.5,476.5
cad representation vdsm,8,8,8.0,8.0,0.0
nation decision,0,3010,368.09090909090907,85.0,841.899632815894
inverted index,0,112886,37628.666666666664,0.0,53214.9707340164
ms excel,0,1975,234.26666666666668,12.0,489.36250594239675
ad_asm,0,961,322.0,5.0,451.8458439187713
ke-chain,0,940,148.53846153846155,0.0,306.4387541731163
nasa ames function table processor scripts,73689,102903,88296.0,88296.0,14607.0
sysml model,0,1155,51.0,1.0,213.35048294163425
airspace system ontology,7,90322,27134.153846153848,21112.0,26695.119830140527
interest profiling,0,11864,4353.0,1463.5,5101.7259824494695
activity profiling,0,25509,8240.0,6496.5,8993.274116434644
wf execution,21,84432,24588.2,6780.0,31918.19632372732
surrogate model repository,6,326551,35781.230769230766,5294.0,85173.65968524257
python application,0,29446,3166.133333333333,363.0,5580.284085161894
process definitions,0,2836,815.0909090909091,96.0,1192.465928962139
object definitions,24,7414,1419.090909090909,306.0,2340.2391662759387
formatted documents,1523,1523,1523.0,1523.0,0.0
airworthiness test,0,46625,6423.227272727273,1056.5,10958.360365624621
generate fem model,9,54848,9798.153846153846,1546.0,15252.510904746414
design concepts formalization,193,16689,3472.2727272727275,968.0,5310.598889201054
tools needed,2,169,58.333333333333336,4.0,78.25741001478532
