Instance,Min,Max,Mean,Median,Std
information push,245,16429,3139.8333333333335,1292.0,4361.411198097341
mdo process formulation,726,64681,25584.2,18475.0,24993.953167916432
fortran application,50,1034,452.3333333333333,273.0,421.2555307912553
cfd simulation data,26,9967,2946.6666666666665,1411.0,3545.379089588149
cfd code,332,6767,2885.0,1412.0,2558.231498516114
word doc,19,19942,3549.6363636363635,588.0,6158.522450787974
airspace system ontology,2482,49170,28836.0,34856.0,19529.85127098173
physical sensing,181,968,574.5,574.5,393.5
managing project files,31294,83167,57230.5,57230.5,25936.5
word processor documents,8322,42058,28675.666666666668,35647.0,14628.261239425858
pdf files,98193,98193,98193.0,98193.0,0.0
triple store,6,8253,3565.1666666666665,2847.5,3638.286108259706
lexical data,8,8,8.0,8.0,0.0
structural solver,171,95031,25561.0,13207.5,31972.249506407898
airworthiness test,3136,22997,13066.5,13066.5,9930.5
generate fem model,14,54852,13774.25,115.5,23716.386427689613
object definitions,154,7860,1299.625,316.0,2487.9131283818974
process definitions,44,2093,636.25,299.0,703.5667612245479
tools needed,10,5632,1885.6666666666667,15.0,2649.0584910282537
sysml model,6,29,15.666666666666666,13.5,9.944289260117532
topic maps,224,43374,22434.6,20889.0,14703.26688324741
manufacturing preparation,14,11514,2620.625,468.0,3793.017925659593
design blueprint,7,2731,947.6666666666666,105.0,1261.64161137605
semantic lexicon,235,462,348.5,348.5,113.5
optimus workflow management tool,1345,1345,1345.0,1345.0,0.0
bond graphs,6049,395334,200691.5,200691.5,194642.5
brics technology,173,173,173.0,173.0,0.0
processe data,339,339,339.0,339.0,0.0
identify different tooling types,13240,13240,13240.0,13240.0,0.0
system architecting,7,7,7.0,7.0,0.0
oracle server,7,414,210.5,210.5,203.5
formatted documents,4734,4734,4734.0,4734.0,0.0
