,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
299,frozenset({'detailed design'}),frozenset({'detailed'}),0.5014925373134328,0.690547263681592,0.5014925373134328,1.0,1.4481268011527377,0.1551882379149031,inf,0.6207584830339322
1,frozenset({'system design'}),frozenset({'design'}),0.9263681592039801,0.9731343283582089,0.9263681592039801,1.0,1.0276073619631902,0.024887502784584625,inf,0.3648648648648661
350,frozenset({'manufacturing'}),frozenset({'design'}),0.472636815920398,0.9731343283582089,0.472636815920398,1.0,1.0276073619631902,0.012697705502339063,inf,0.05094339622641514
386,frozenset({'section description'}),frozenset({'design'}),0.45174129353233833,0.9731343283582089,0.45174129353233833,1.0,1.0276073619631902,0.012136333259077758,inf,0.04900181488203272
387,frozenset({'section description'}),frozenset({'description'}),0.45174129353233833,0.8139303482587065,0.45174129353233833,1.0,1.228606356968215,0.08405534516472363,inf,0.33938294010889286
118,frozenset({'product design'}),frozenset({'design'}),0.6537313432835821,0.9731343283582089,0.6537313432835821,1.0,1.0276073619631902,0.017562931610603738,inf,0.07758620689655191
206,frozenset({'product support'}),frozenset({'design'}),0.564179104477612,0.9731343283582089,0.564179104477612,1.0,1.0276073619631902,0.015157050568055275,inf,0.06164383561643847
283,frozenset({'engine analysis'}),frozenset({'analysis'}),0.5114427860696518,0.9223880597014925,0.5114427860696518,1.0,1.0841423948220066,0.039694066978540166,inf,0.1588594704684319
282,frozenset({'engine analysis'}),frozenset({'design'}),0.5114427860696518,0.9731343283582089,0.5114427860696518,1.0,1.0276073619631902,0.013740253954110049,inf,0.054989816700611004
402,frozenset({'link analysis'}),frozenset({'analysis'}),0.4427860696517413,0.9223880597014925,0.4427860696517413,1.0,1.0841423948220066,0.034365486002821743,inf,0.1392857142857144
300,frozenset({'detailed design'}),frozenset({'design'}),0.5014925373134328,0.9731343283582089,0.5014925373134328,1.0,1.0276073619631902,0.013472933838271361,inf,0.0538922155688624
71,frozenset({'concept design'}),frozenset({'design'}),0.7253731343283583,0.9731343283582089,0.7253731343283583,1.0,1.0276073619631902,0.019487636444642464,inf,0.09782608695652178
93,frozenset({'detailed'}),frozenset({'design'}),0.690547263681592,0.9731343283582089,0.6895522388059702,0.9985590778097984,1.026126659712523,0.01755699116358511,18.64477611940413,0.08227892150721756
194,frozenset({'check'}),frozenset({'design'}),0.5771144278606966,0.9731343283582089,0.5761194029850746,0.9982758620689653,1.0258356251322192,0.014509541843023666,15.582089552237301,0.05955501371533061
202,frozenset({'knowledge management'}),frozenset({'design'}),0.5701492537313433,0.9731343283582089,0.5691542288557214,0.9982547993019197,1.0258139808777396,0.014322417761936657,15.394029850746447,0.05854215229215258
