,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
589,frozenset({'product data management system'}),frozenset({'product data management'}),0.42073170731707316,0.4695121951219512,0.42073170731707316,1.0,2.12987012987013,0.22319303985722785,inf,0.9157894736842106
590,frozenset({'product data management'}),frozenset({'product data management system'}),0.4695121951219512,0.42073170731707316,0.42073170731707316,0.8961038961038961,2.1298701298701297,0.22319303985722785,5.57545731707317,1.0
616,frozenset({'cad'}),frozenset({'manufacturing'}),0.4573170731707317,0.6463414634146342,0.4024390243902439,0.88,1.3615094339622642,0.10685603807257588,2.9471544715447155,0.4892747701736467
515,frozenset({'reasoning'}),frozenset({'ontology'}),0.5609756097560976,0.5914634146341463,0.45121951219512196,0.8043478260869564,1.3599282832810398,0.11942296252230816,2.0880758807588067,0.602852852852853
632,frozenset({'product data management system'}),frozenset({'product design'}),0.42073170731707316,0.7439024390243902,0.4024390243902439,0.9565217391304349,1.2858161083392732,0.08945568114217733,5.890243902439043,0.3837320574162681
560,frozenset({'expert systems'}),frozenset({'knowledge management'}),0.5121951219512195,0.6585365853658537,0.4268292682926829,0.8333333333333333,1.265432098765432,0.08953004164187978,2.0487804878048768,0.42999999999999977
530,frozenset({'system specification'}),frozenset({'system definition'}),0.5304878048780488,0.6646341463414634,0.43902439024390244,0.8275862068965517,1.2451755773489401,0.08644408090422362,1.945121951219512,0.4193722943722941
390,frozenset({'manufacturing'}),frozenset({'material'}),0.6463414634146342,0.6585365853658537,0.524390243902439,0.8113207547169812,1.2320055904961564,0.09875074360499703,1.8097560975609759,0.5324779470729751
524,frozenset({'knowledge graph'}),frozenset({'knowledge engineering'}),0.4695121951219512,0.7804878048780488,0.4451219512195122,0.9480519480519481,1.2146915584415585,0.07867340868530637,4.225609756097568,0.33317587781451735
497,frozenset({'knowledge capture'}),frozenset({'knowledge base'}),0.4634146341463415,0.8414634146341463,0.4573170731707317,0.9868421052631579,1.1727688787185355,0.06737061273051759,12.048780487804843,0.27454545454545465
93,frozenset({'knowledge engineering'}),frozenset({'knowledge base'}),0.7804878048780488,0.8414634146341463,0.7682926829268293,0.984375,1.1698369565217392,0.11154074955383697,10.146341463414636,0.6613756613756612
92,frozenset({'knowledge base'}),frozenset({'knowledge engineering'}),0.8414634146341463,0.7804878048780488,0.7682926829268293,0.9130434782608696,1.1698369565217392,0.11154074955383697,2.5243902439024404,0.9157509157509154
428,frozenset({'word'}),frozenset({'engine analysis'}),0.6219512195121951,0.6890243902439024,0.5,0.803921568627451,1.1667534270345308,0.07146044021415826,1.5859756097560982,0.378048780487805
485,frozenset({'expert systems'}),frozenset({'knowledge engineering'}),0.5121951219512195,0.7804878048780488,0.4634146341463415,0.9047619047619048,1.1592261904761905,0.06365258774538968,2.3048780487804876,0.28157894736842115
230,frozenset({'knowledge management'}),frozenset({'knowledge base'}),0.6585365853658537,0.8414634146341463,0.6402439024390244,0.9722222222222222,1.1553945249597424,0.08610945865556219,5.707317073170731,0.3938775510204083
407,frozenset({'word'}),frozenset({'express'}),0.6219512195121951,0.7134146341463414,0.5121951219512195,0.823529411764706,1.1543489190548015,0.06848602022605593,1.6239837398373993,0.3536866359447005
546,frozenset({'training'}),frozenset({'express'}),0.5304878048780488,0.7134146341463414,0.4329268292682927,0.8160919540229885,1.14392376461342,0.0544690660321237,1.5583079268292686,0.2679714651545636
