Instance,Min,Max,Mean,Median,Std
generate fem model,9,54848,13769.0,109.5,23717.111554740386
object definitions,147,7848,1290.75,306.5,2486.646072021509
process definitions,36,2085,625.25,287.0,704.1829929073834
tools needed,4,5626,1879.6666666666667,9.0,2649.0584910282537
sysml model,0,23,9.666666666666666,7.5,9.944289260117532
topic maps,219,43368,22429.2,20883.0,14703.00308644462
manufacturing preparation,0,11500,2607.375,456.0,3792.5637745956233
flight-test preparation,7991,50349,29170.0,29170.0,21179.0
design blueprint,0,2724,939.6666666666666,95.0,1262.3101397393943
semantic lexicon,226,453,339.5,339.5,113.5
optimus workflow management tool,1334,1334,1334.0,1334.0,0.0
bond graphs,6044,395327,200685.5,200685.5,194641.5
brics technology,162,162,162.0,162.0,0.0
processe data,334,334,334.0,334.0,0.0
identify different tooling types,13234,13234,13234.0,13234.0,0.0
system architecting,0,0,0.0,0.0,0.0
owl-ql,98,98,98.0,98.0,0.0
oracle server,0,407,203.5,203.5,203.5
formatted documents,4724,4724,4724.0,4724.0,0.0
